r_mpc,dsig
0.0677806,76.9679
0.105322,125.997
0.167955,129.938
0.260980,95.4896
0.416179,81.8588
0.646687,65.9810
1.03126,50.0053
1.64453,31.5025
2.55538,15.0408
3.97072,9.77188
6.33203,6.15612
10.0976,4.96204
15.6903,3.12600
25.0209,3.42865
