r_mpc,dsig
0.0676603,93.0061
0.105347,93.0061
0.164025,134.314
0.255387,118.828
0.408129,95.8985
0.652223,75.0595
1.01551,60.5760
1.62287,50.4076
2.52680,27.3200
4.03803,14.3604
6.28721,9.35308
9.78917,7.09983
15.6439,5.06920
25.0002,2.92096
