r_mpc,dsig
0.0677806,206.389
0.105322,151.121
0.167955,133.408
0.267834,129.314
0.405528,94.6853
0.663673,81.0218
1.03126,49.2065
1.64453,32.8135
2.55538,17.5925
3.97072,9.14258
6.33203,7.82326
9.83913,5.55252
15.6903,4.90168
24.3806,2.88556
