r_mpc,dsig
0.0676603,147.055
0.105347,107.859
0.168353,59.8502
0.262125,72.0843
0.418898,59.8502
0.669433,45.2795
1.04231,28.4422
1.62287,20.8611
2.59347,8.75756
4.03803,7.50015
6.45311,3.67646
10.0475,2.86899
16.0567,3.24773
25.0002,2.30935
