r_mpc,dsig
0.0659209,95.2806
0.105347,92.3723
0.164025,79.1095
0.262125,52.8707
0.408129,43.8974
0.652223,33.2105
1.01551,17.3205
1.62287,10.8798
2.52680,5.85287
4.03803,3.45545
6.28721,3.14859
9.78917,2.04005
15.6439,2.10428
25.0002,1.69381
