"dsig(r_mpc), created by Plot Digitizer, 2.6.8"
"Date: 3/23/21, 1:38:24 AM"


13
r_mpc,dsig
0.111098,272.095,
0.182141,239.553,
0.283523,224.532,
0.440706,144.784,
0.703942,127.486,
1.09394,77.2385,
1.79389,72.3747,
2.71576,42.5092,
4.32657,18.8551,
6.72279,11.0730,
10.4499,7.14014,
16.7016,7.34734,
26.6078,3.25894,
