r_mpc,dsig
0.0676603,161.387
0.105347,98.2804
0.168353,98.2804
0.269042,79.1095
0.408129,61.7345
0.652223,42.5575
1.04231,35.3346
1.62287,18.4283
2.59347,9.91365
4.03803,5.85287
6.45311,5.67422
10.0475,3.56424
16.0567,2.95932
25.0002,1.85888
