r_mpc,dsig
0.0659209,220.037
0.105347,281.966
0.164025,194.377
0.262125,171.709
0.418898,147.055
0.652223,107.859
1.01551,67.7510
1.62287,49.6924
2.52680,26.7324
4.03803,14.3809
6.45311,11.9401
10.0475,7.27122
16.0567,4.56739
25.0002,3.45545
