r_mpc,dsig
0.0659209,273.359
0.105347,151.685
0.168353,129.906
0.262125,95.2806
0.408129,72.0843
0.652223,56.2523
1.01551,38.7783
1.62287,19.0085
2.52680,14.8336
4.03803,7.27122
6.28721,6.03715
10.0475,3.67646
15.6439,1.97778
25.0002,2.10428
