r_mpc,dsig
0.0676603,89.7842
0.105347,81.8588
0.164025,79.3757
0.262125,79.3757
0.408129,65.9810
0.635455,44.2083
1.04231,36.7482
1.62287,21.1072
2.52680,12.1234
4.03803,8.12287
6.28721,5.61271
10.0475,3.32464
15.6439,2.67978
24.3575,2.76361
